word,count
year,123
got,115
day,113
help,83
mods,50
2,49
way,49
trying,45
getting,42
finally,41
love,37
community,36
started,35
use,34
3,34
best,34
days,33
level,33
1,32
went,32
work,32
doing,31
4,31
today,31
having,31
item,30
ampx200b,30
little,29
going,28
question,28
5,28
played,28
fall,27
items,27
tips,26
start,26
removed,26
buy,26
things,25
people,25
looking,25
making,25
id,25
lot,25
wondering,25
friend,24
whats,24
hours,24
idea,24
using,24
wanted,24
luck,24
life,24
years,23
summer,23
far,23
run,22
bought,22
right,22
better,22
quest,22
tried,21
guys,21
deleted,21
fix,21
look,21
feel,20
room,20
pretty,20
isnt,20
worth,20
amp,20
wrong,20
recently,20
big,19
doesnt,19
finished,19
try,19
steam,19
maybe,19
able,19
thanks,18
away,18
character,18
hey,18
chance,18
bit,18
version,18
hes,17
possible,17
pc,17
hello,17
long,17
problem,17
different,17
change,16
stuff,16
havent,16
giant,16
mean,16
seen,16
fun,16
probably,16
saw,16
say,16
red,16
check,15
night,15
anybody,15
theyre,15
decided,15
thank,15
10,15
works,15
old,14
wont,14
shes,14
ones,14
looked,14
straight,14
6,14
said,14
ill,14
place,14
later,14
hard,14
happen,14
used,14
great,13
real,13
lol,13
drop,13
friends,13
thinking,13
tell,13
times,13
players,13
spoilers,12
8,12
okay,12
let,12
confused,12
art,12
post,12
ago,12
wait,12
curious,12
makes,12
map,12
player,12
hope,12
event,12
world,12
issue,12
reason,12
multiple,12
end,12
guess,12
come,12
kind,12
order,11
lost,11
second,11
sword,11
hate,11
wasnt,11
early,11
believe,11
advice,11
looks,11
past,11
add,11
heard,11
secret,11
yall,11
kinda,11
favorite,11
came,10
heres,10
wanna,10
similar,10
gotten,10
absolutely,10
instead,10
xbox,10
means,10
ask,10
quality,10
normal,10
fast,10
happens,10
half,10
tree,10
point,10
starting,10
sort,10
says,10
set,9
enjoy,9
bad,9
playthrough,9
quite,9
week,9
age,9
understand,9
completely,9
appreciate,9
console,9
turned,9
date,9
sorry,9
special,9
leave,9
literally,9
mind,9
golden,9
characters,9
horse,8
high,8
forest,8
hit,8
talk,8
guy,8
experience,8
supposed,8
interested,8
arent,8
important,8
lose,8
rate,8
minutes,8
page,8
noticed,8
ready,8
months,8
option,8
comes,8
nice,7
taking,7
excited,7
remember,7
black,7
knew,7
stay,7
kill,7
light,7
combat,7
lets,7
outside,7
waiting,7
seeing,7
idk,7
d,7
appear,7
oh,7
managed,7
figure,7
basically,6
left,6
moment,6
reading,6
gonna,6
clear,6
wouldnt,6
accidentally,6
giving,6
annoying,6
finish,6
faster,6
interesting,6
content,6
inside,6
obviously,6
coming,6
random,6
turn,6
goes,6
questions,6
sense,6
changed,6
loved,6
showed,6
wish,6
build,6
lots,6
example,6
